Title,Year,Ranking
Double Indemnity,1944,8.3
Three Colors: Red,1994,8.1
The Third Man,1949,8.1
The Treasure of the Sierra Madre,1948,8.2
Rashomon,1950,8.2
The Great Dictator,1940,8.4
Fanny and Alexander,1982,8.1
It Happened One Night,1934,8.1
The 400 Blows,1959,8.1
Yojimbo,1961,8.2
Bicycle Thieves,1948,8.3
Andrei Rublev,1966,8.1
High and Low,1963,8.4
Ikiru,1952,8.3
Drishyam,2013,8.3
Children of Heaven,1997,8.3
City Lights,1931,8.5
Wild Strawberries,1957,8.2
The Kid,1921,8.3
Mr. Smith Goes to Washington,1939,8.1
Tokyo Story,1953,8.2
Autumn Sonata,1978,8.2
Rififi,1955,8.1
Sunrise,1927,8.1
The Wages of Fear,1953,8.1
The Battle of Algiers,1966,8.1
The Bandit,1996,8.2
My Father and My Son,2005,8.3
The Passion of Joan of Arc,1928,8.1
To Be or Not to Be,1942,8.2
The Gold Rush,1925,8.2
The General,1926,8.1
Sherlock Jr.,1924,8.2
